crop_code,crop_name,crop_cat1,bln_country,B_LU,B_LU_EOM,B_LU_EOM_RESIDUE,B_LU_HC,B_LU_WATERSTRESS_OBIC,B_LU_MAKKINK
1918,"graszaad, roodzwenkgras, overjarig",grassland,NL,nl_1918,2300,0,0.32,grasland met herinzaai,grasland
1919,"graszaad, westerwolds",grassland,NL,nl_1919,2300,0,0.32,grasland met herinzaai,grasland
1920,"graszaad, italiaans",grassland,NL,nl_1920,2300,0,0.32,grasland met herinzaai,grasland
1921,graszoden,grassland,NL,nl_1921,2300,0,0.35,grasland met herinzaai,grasland
1922,"koolzaad, winter (incl. boterzaad)",arable,NL,nl_1922,975,0,0.32,zomergroenten,overig
1923,"koolzaad, zomer (incl. boterzaad)",arable,NL,nl_1923,975,0,0.32,zomergroenten,bloemkool
1925,overige akkerbouwgewassen,arable,NL,nl_1925,0,0,0.35,aardappel,overig
1926,agrarisch natuurmengsel,nature,NL,nl_1926,0,0,0.35,natuur,natuurlijk grasland
1927,overige akkerbouwgewassen,arable,NL,nl_1927,0,0,0.35,overig,overig
1928,"aardappelrassen, poot- op kleigrond",arable,NL,nl_1928,875,0,0.22,aardappel,aardappels
1929,"aardappelrassen, poot- op zand-/veengrond",arable,NL,nl_1929,875,0,0.22,aardappel,aardappels
1930,"tagetes (zand, loss) (geen groene braak)",arable,NL,nl_1930,865,0,0.3,overig,braak
1931,"uien, poot- en plant- (incl. sjalotten)",arable,NL,nl_1931,300,0,0.24,zomergroenten,zaaiuien
1932,"uien, poot en plant, 1e jaars",arable,NL,nl_1932,300,0,0.24,zomergroenten,zaaiuien
1933,"uien, poot en plant, 2e jaars",arable,NL,nl_1933,300,0,0.24,zomergroenten,zaaiuien
1934,sjalotten,arable,NL,nl_1934,0,0,0.35,zomergroenten,overig
1935,maiskolvensilage,maize,NL,nl_1935,0,0,0.32,snijmais,snijmais
1936,"bos, blijvend, met herplantplicht",arable,NL,nl_1936,0,0,0.81,natuur,bos
1940,voedselbos,arable,NL,nl_1940,0,0,0.81,boomteelt,overig
1949,aardperen,arable,NL,nl_1949,375,900,0.35,overig,bol en knolgewassen
1950,onbekend/gewas niet opgegeven,arable,NL,nl_1950,0,0,0.24,natuur,overig
1959,dummycode voor dummypercelen,arable,NL,nl_1959,0,0,0.35,natuur,overig
2014,"aardappelen, consumptie",arable,NL,nl_2014,875,0,0.22,aardappel,aardappels
2015,"aardappelen, poot nak",arable,NL,nl_2015,875,0,0.22,aardappel,aardappels
2016,"aardappelen, poot tbm",arable,NL,nl_2016,875,0,0.22,aardappel,aardappels
2017,"aardappelen, zetmeel",arable,NL,nl_2017,875,0,0.22,aardappel,aardappels
2025,"aardappelen, bestrijdingsmaatregel am",arable,NL,nl_2025,875,0,0.22,aardappel,aardappels
2026,braak met bos (sbl-regeling na 28 juni 1995),nature,NL,nl_2026,0,0,0.81,natuur,braak
2027,bos (sbl-regeling),nature,NL,nl_2027,0,0,0.81,natuur,bos
2029,"braak, natuur-",nature,NL,nl_2029,0,0,0.35,natuur,braak
2030,"graszaad, engels raai 1e jaar",grassland,NL,nl_2030,1175,0,0.32,grasland met herinzaai,grasland
2031,"graszaad, engels raai overjarig",grassland,NL,nl_2031,2300,0,0.32,grasland met herinzaai,grasland
2032,"mais, energie-",maize,NL,nl_2032,660,0,0.32,snijmais,snijmais
2033,"onbeteelde grond, tijdelijk",arable,NL,nl_2033,0,0,0.35,natuur,braak
2297,woudbomen met korte omlooptijd,arable,NL,nl_2297,0,0,0.81,boomteelt,jong bos
2298,"groenbemesters, vlinderbloemige",arable,NL,nl_2298,0,0,0.24,overig,bladrammenas
2299,"groenbemesters, niet-vlinderbloemige",arable,NL,nl_2299,0,0,0.24,overig,bladrammenas
2300,onbeteelde grond vanwege een teeltverbod/ontheffing,arable,NL,nl_2300,0,0,0.35,natuur,braak
2301,natuurlijk grasland met hoofdfunctie landbouw,grassland,NL,nl_2301,1155,0,0.35,grasland met herinzaai,grasland
2302,natuurlijk grasland (begraasd) met beperkte landbouwact.,grassland,NL,nl_2302,1155,0,0.35,grasland met herinzaai,grasland
2303,overige natuurterreinen,nature,NL,nl_2303,0,0,0.35,natuur,jong bos
2304,"heide, begraasd",arable,NL,nl_2304,0,0,0.32,natuur,overig
2325,"bessen, rode",arable,NL,nl_2325,5600,0,0.81,klein fruit,fruit
2326,frambozen,arable,NL,nl_2326,2850,0,0.81,klein fruit,fruit
2327,bramen,arable,NL,nl_2327,0,0,0.81,klein fruit,fruit
2328,"kersen, zoet",arable,NL,nl_2328,0,0,0.81,klein fruit,fruit
2617,boomgroep,nature,NL,nl_2617,1175,0,0.81,boomteelt,bos
2618,"windhaag, in een perceel fruitteelt",nature,NL,nl_2618,0,0,0.35,natuur,fruit
2619,bossingel,nature,NL,nl_2619,0,0,0.81,natuur,bos
2620,poel en klein historisch water,nature,NL,nl_2620,0,0,0.35,natuur,overig
2621,houtwal en houtsingel,nature,NL,nl_2621,0,0,0.35,natuur,overig
2622,elzensingel,nature,NL,nl_2622,0,0,0.35,natuur,overig
2624,knip- of scheerheg,nature,NL,nl_2624,0,0,0.35,natuur,overig
2625,struweelhaag,nature,NL,nl_2625,0,0,0.35,natuur,overig
2626,laan,nature,NL,nl_2626,0,0,0.35,natuur,overig
2628,hoogstamboomgaard,arable,NL,nl_2628,1175,0,0.81,boomteelt,overig
2629,struweelrand,nature,NL,nl_2629,0,0,0.35,natuur,overig
2630,hakhoutbosje,nature,NL,nl_2630,0,0,0.81,natuur,overig
2631,griendje,nature,NL,nl_2631,0,0,0.35,natuur,overig
2633,rietzoom en klein rietperceel,nature,NL,nl_2633,0,0,0.31,grasland met herinzaai,bos
2634,natuurvriendelijke oever,nature,NL,nl_2634,0,0,0.35,natuur,bos
2635,wandelpad over boerenland,nature,NL,nl_2635,0,0,0.35,natuur,overig
2636,leibomen,nature,NL,nl_2636,0,0,0.35,natuur,overig
2637,schurvelingen en zandwallen,nature,NL,nl_2637,0,0,0.35,natuur,overig
2638,"landschapselement, overig",nature,NL,nl_2638,0,0,0.35,natuur,overig
2639,"water, overig",nature,NL,nl_2639,0,0,0.35,natuur,overig
2640,geisoleerde boom (anders dan knotboom),nature,NL,nl_2640,0,0,0.35,natuur,overig
2641,bomenrij (anders dan knotboom),nature,NL,nl_2641,0,0,0.35,natuur,overig
2642,bosje,nature,NL,nl_2642,0,0,0.81,natuur,bos
2643,"knotboom, bomen in rij",nature,NL,nl_2643,0,0,0.35,natuur,overig
2644,"knotboom, geisloleerde boom",nature,NL,nl_2644,0,0,0.35,natuur,overig
2645,notenbomen,arable,NL,nl_2645,0,0,0.81,boomteelt,fruit
2650,erwten inclusief schokkers (droog te oogsten),arable,NL,nl_2650,170,830,0.32,zomergroenten,tuinbonen
2651,"bieten, voeder- (inclusief aardperen)",arable,NL,nl_2651,375,900,0.35,suikerbiet,bol en knolgewassen
2652,"granen, overig",arable,NL,nl_2652,1600,0,0.31,granen,graan
2653,graszaad (inclusief klaverzaad),grassland,NL,nl_2653,2300,0,0.32,grasland met herinzaai,grasland
2700,"aardbeien open grond, vermeerdering",arable,NL,nl_2700,300,0,0.81,klein fruit,fruit
2701,"aardbeien open grond, wachtbed",arable,NL,nl_2701,300,0,0.81,klein fruit,fruit
2702,"aardbeien open grond, productie",arable,NL,nl_2702,300,0,0.81,klein fruit,fruit
2703,"aardbeien open grond, zaden en opkweekmateriaal",arable,NL,nl_2703,300,0,0.81,klein fruit,fruit
2704,"aardbeien op stellingen, vermeerdering",arable,NL,nl_2704,300,0,0.81,klein fruit,fruit
2705,"aardbeien op stellingen, wachtbed",arable,NL,nl_2705,300,0,0.81,klein fruit,fruit
2706,"aardbeien op stellingen, productie",arable,NL,nl_2706,300,0,0.81,klein fruit,fruit
2707,"aardbeien op stellingen, zaden en opkweekmateriaal",arable,NL,nl_2707,300,0,0.81,klein fruit,fruit
2708,"andijvie, productie",arable,NL,nl_2708,450,0,0.2,bladgroenten,groenten
2709,"andijvie, zaden en opkweekmateriaal",arable,NL,nl_2709,450,0,0.32,bladgroenten,groenten
2710,"asperges, oppervlakte die productie oplevert",arable,NL,nl_2710,1000,0,0.35,zomergroenten,overig
2711,"asperges, oppervlakte die nog geen productie oplevert",arable,NL,nl_2711,1000,0,0.35,zomergroenten,overig
2712,"asperges, zaden en opkweekmateriaal",arable,NL,nl_2712,1000,0,0.35,zomergroenten,overig
2713,"bloemkool, productie",arable,NL,nl_2713,1640.08,150,0.32,zomergroenten,bloemkool
2714,"bloemkool, zaden en opkweekmateriaal",arable,NL,nl_2714,1000,150,0.32,zomergroenten,bloemkool
2715,"boerenkool, productie",arable,NL,nl_2715,750,150,0.32,zomergroenten,bloemkool
2716,"boerenkool, zaden en opkweekmateriaal",arable,NL,nl_2716,750,150,0.32,zomergroenten,bloemkool
2717,"bospeen, productie",arable,NL,nl_2717,300,0,0.24,bladgroenten,peen
2718,"bospeen, zaden en opkweekmateriaal",arable,NL,nl_2718,300,0,0.32,bladgroenten,peen
2719,"broccoli, productie",arable,NL,nl_2719,1150,0,0.32,zomergroenten,bloemkool
2720,"broccoli, zaden en opkweekmateriaal",arable,NL,nl_2720,1150,0,0.32,zomergroenten,bloemkool
2721,"chinese kool, productie",arable,NL,nl_2721,1730.16,0,0.32,zomergroenten,spitskool
2722,"chinese kool, zaden en opkweekmateriaal",arable,NL,nl_2722,450,0,0.32,zomergroenten,spitskool
2723,"courgette, productie",arable,NL,nl_2723,250,0,0.28,zomergroenten,groenten
2724,"courgette, zaden en opkweekmateriaal",arable,NL,nl_2724,250,0,0.32,zomergroenten,groenten
2725,"knolselderij, productie",arable,NL,nl_2725,400,600,0.2,zomergroenten,selderij
2726,"knolselderij, zaden en opkweekmateriaal",arable,NL,nl_2726,400,600,0.32,zomergroenten,selderij
2727,"knolvenkel/venkel, productie",arable,NL,nl_2727,400,350,0.28,zomergroenten,bol en knolgewassen
2728,"knolvenkel/venkel, zaden en opkweekmateriaal",arable,NL,nl_2728,950,0,0.32,zomergroenten,bol en knolgewassen
2729,"komkommer, productie",arable,NL,nl_2729,0,0,0.28,zomergroenten,groenten
2730,"komkommer, zaden en opkweekmateriaal",arable,NL,nl_2730,250,0,0.32,zomergroenten,groenten
2731,"augurk, productie",arable,NL,nl_2731,250,0,0.28,zomergroenten,groenten
2732,"augurk, zaden en opkweekmateriaal",arable,NL,nl_2732,250,0,0.32,zomergroenten,groenten
2733,"meloen, productie",arable,NL,nl_2733,0,0,0.24,zomergroenten,groenten
2734,"meloen, zaden en opkweekmateriaal",arable,NL,nl_2734,0,0,0.32,zomergroenten,groenten
2735,"pompoen, productie",arable,NL,nl_2735,350,0,0.24,zomergroenten,groenten
2736,"pompoen, zaden en opkweekmateriaal",arable,NL,nl_2736,350,0,0.32,zomergroenten,groenten
2737,"koolraap, productie",arable,NL,nl_2737,550,600,0.32,zomergroenten,bol en knolgewassen
2738,"koolraap, zaden en opkweekmateriaal",arable,NL,nl_2738,300,0,0.32,zomergroenten,bol en knolgewassen
2739,"koolrabi, productie",arable,NL,nl_2739,300,250,0.32,zomergroenten,bol en knolgewassen
2740,"koolrabi, zaden en opkweekmateriaal",arable,NL,nl_2740,300,0,0.32,zomergroenten,bol en knolgewassen
2741,"kroten/rode bieten, productie",arable,NL,nl_2741,600,0,0.24,suikerbiet,bol en knolgewassen
2742,"kroten/rode bieten, zaden en opkweekmateriaal",arable,NL,nl_2742,600,0,0.32,suikerbiet,bol en knolgewassen
2743,"kruiden, productie",arable,NL,nl_2743,300,0,0.2,overig,overig
2744,"kruiden, zaden en opkweekmateriaal",arable,NL,nl_2744,300,0,0.32,overig,overig
2745,"paksoi, productie",arable,NL,nl_2745,450,0,0.24,zomergroenten,sla
2746,"paksoi, zaden en opkweekmateriaal",arable,NL,nl_2746,450,0,0.32,zomergroenten,sla
2747,"peulen, productie",arable,NL,nl_2747,170,0,0.24,zomergroenten,tuinbonen
2748,"peulen, zaden en opkweekmateriaal",arable,NL,nl_2748,170,0,0.32,zomergroenten,tuinbonen
2749,"prei, productie",arable,NL,nl_2749,100,350,0.2,wintergroenten,prei
2750,"prei, zaden en opkweekmateriaal",arable,NL,nl_2750,100,350,0.32,wintergroenten,prei
2751,"pronkbonen, productie",arable,NL,nl_2751,0,0,0.24,zomergroenten,tuinbonen
2752,"pronkbonen, zaden en opkweekmateriaal",arable,NL,nl_2752,0,0,0.32,zomergroenten,tuinbonen
2753,"raapstelen, productie",arable,NL,nl_2753,0,0,0.2,zomergroenten,overig
2754,"raapstelen, zaden en opkweekmateriaal",arable,NL,nl_2754,0,0,0.32,zomergroenten,overig
2755,"rabarber, productie",arable,NL,nl_2755,0,0,0.24,zomergroenten,overig
2756,"rabarber, zaden en opkweekmateriaal",arable,NL,nl_2756,0,0,0.32,zomergroenten,overig
2757,"radijs, productie",arable,NL,nl_2757,0,0,0.2,zomergroenten,overig
2758,"radijs, zaden en opkweekmateriaal",arable,NL,nl_2758,0,0,0.32,zomergroenten,overig
2759,"rodekool, productie",arable,NL,nl_2759,1000,150,0.32,zomergroenten,bloemkool
2760,"rodekool, zaden en opkweekmateriaal",arable,NL,nl_2760,1000,150,0.32,zomergroenten,bloemkool
2761,"savooiekool, productie",arable,NL,nl_2761,1000,440,0.32,zomergroenten,bloemkool
2762,"savooiekool, zaden en opkweekmateriaal",arable,NL,nl_2762,1000,440,0.32,zomergroenten,bloemkool
2763,"schorseneren, productie",arable,NL,nl_2763,600,0,0.24,zomergroenten,overig
2764,"schorseneren, zaden en opkweekmateriaal",arable,NL,nl_2764,600,0,0.32,zomergroenten,overig
2765,"selderij, bleek- en groen-, productie",arable,NL,nl_2765,3266,0,0.2,zomergroenten,selderij
2766,"selderij, bleek- en groen-, zaden en opkweekmateriaal",arable,NL,nl_2766,450,0,0.32,zomergroenten,selderij
2767,"sla, ijsberg-, productie",arable,NL,nl_2767,450,0,0.2,bladgroenten,sla
2768,"sla, ijsberg-, zaden en opkweekmateriaal",arable,NL,nl_2768,300,0,0.32,bladgroenten,sla
2769,"sla, radicchio rosso, productie",arable,NL,nl_2769,300,0,0.2,bladgroenten,sla
2770,"sla; radicchio rosso, zaden en opkweekmateriaal",arable,NL,nl_2770,300,0,0.32,bladgroenten,sla
2771,"sla, overig, productie",arable,NL,nl_2771,350,0,0.2,bladgroenten,sla
2772,"sla, overig, zaden en opkweekmateriaal",arable,NL,nl_2772,300,0,0.32,bladgroenten,sla
2773,"spinazie, productie",arable,NL,nl_2773,300,0,0.2,bladgroenten,groenten
2774,"spinazie, zaden en opkweekmateriaal",arable,NL,nl_2774,300,0,0.32,bladgroenten,groenten
2775,"spitskool, productie",arable,NL,nl_2775,750,150,0.32,zomergroenten,bloemkool
2776,"spitskool, zaden en opkweekmateriaal",arable,NL,nl_2776,500,150,0.32,zomergroenten,bloemkool
2777,"spruitkool/spruitjes, productie",arable,NL,nl_2777,1300,700,0.32,wintergroenten,bloemkool
2778,"spruitkool/spruitjes, zaden en opkweekmateriaal",arable,NL,nl_2778,1300,700,0.32,wintergroenten,bloemkool
2779,"stamsperziebonen (=stamslabonen), productie",arable,NL,nl_2779,170,480,0.24,zomergroenten,tuinbonen
2780,"stamsperziebonen (=stamslabonen), zaden en opkweekmateriaal",arable,NL,nl_2780,170,480,0.32,zomergroenten,tuinbonen
2781,"stoksnijbonen en stokslabonen, productie",arable,NL,nl_2781,170,480,0.24,zomergroenten,tuinbonen
2782,"stoksnijbonen en stokslabonen, zaden en opkweekmateriaal",arable,NL,nl_2782,170,480,0.32,zomergroenten,tuinbonen
