id,code,type,description,unit,value_min,value_max,data_type,enum,options
40,A_K_CC,measurement,Potassium plant available,mg K /kg,1,600,num,FALSE,""
41,A_K_CO,measurement,"Potassium exchangeable, extracted with cohex",mmol+/kg,0.1,150,num,FALSE,""
42,A_K_CO_PO,measurement,Potassium occupation,%,0.1,50,num,FALSE,""
43,A_K_KG,measurement,Potassium number,unitless,1,100,num,FALSE,""
44,A_K_RT,measurement,Total Potassium content,g K /kg,0.001,80,num,FALSE,""
45,A_MG_CC,measurement,Magnesium plant available,mg Mg / kg,1,1100,num,FALSE,""
46,A_MG_CO,measurement,"Magnesium exchangeable, extracted with cohex",mmol+/kg,0.1,150,num,FALSE,""
47,A_MG_CO_PO,measurement,Magnesium occupation,%,0.1,50,num,FALSE,""
48,A_MG_RT,measurement,Total Magnesium content,g Mg / kg,0.1,350,num,FALSE,""
49,A_MN_CC,measurement,Manganese plant available,µg Mn/ kg,0.1,60000,num,FALSE,""
50,A_MN_RT,measurement,Total Manganese content,mg Mn / kg,10,30000,num,FALSE,""
